X-POSF,Y-POSF,X-TCMD,Y-TCMD,Z-TCMD,SPEED,S-TCMD
-1.052,-0.137,-1.27712167,8.170832188959077,-6.440538314,-1432,0.024414063
-1.067,-0.139,-1.194726723,8.239494644328481,-6.358143367,-1433,-0.347900391
-1.082,-0.14,-1.167261741,8.294424608624004,-6.413073332,-1434,-0.720214844
-1.097,-0.142,-1.208459215,8.074704751441912,-6.550398242,-1434,-0.915527344
-1.11,-0.144,-1.194726723,7.854984894259819,-6.26201593,-1433,-1.171875
-1.124,-0.145,-1.235924197,8.212029662180720,-6.632793189,-1432,-0.994873047
-1.138,-0.147,-1.194726723,7.813787421038176,-6.481735787,-1432,-0.537109375
-1.151,-0.149,-1.167261741,8.266959626476243,-6.591595715,-1432,-0.378417969
-1.164,-0.15,-1.222191706,7.703927492447130,-6.550398242,-1433,-0.256347656
-1.177,-0.151,-1.194726723,8.088437242515793,-6.426805823,-1433,-0.012207031
-1.19,-0.153,-1.235924197,7.951112331776985,-6.811315573,-1433,-0.207519531
-1.202,-0.154,-1.263389179,7.539137599560561,-6.591595715,-1434,-0.445556641
-1.214,-0.156,-1.235924197,7.594067563856084,-6.330678385,-1433,-0.653076172
-1.225,-0.157,-1.27712167,7.374347706673991,-6.564130733,-1433,-1.025390625
-1.237,-0.158,-1.235924197,7.566602581708322,-6.770118099,-1433,-0.775146484
-1.248,-0.159,-1.249656688,7.484207635265037,-6.39934084,-1433,-0.451660156
-1.259,-0.161,-1.222191706,7.580335072782202,-6.742653117,-1433,-0.170898438
-1.27,-0.162,-1.235924197,7.827519912112058,-6.509200769,-1432,0.036621094
-1.28,-0.163,-1.139796759,7.992309804998627,-6.39934084,-1433,-0.305175781
-1.291,-0.164,-1.167261741,7.758857456742653,-6.770118099,-1433,-0.592041016
-1.301,-0.165,-1.126064268,7.635265037077726,-6.481735787,-1434,-0.854492188
-1.31,-0.166,-1.139796759,7.607800054929965,-6.838780555,-1434,-0.982666016
-1.32,-0.167,-1.180994232,7.429277670969514,-6.440538314,-1433,-0.903320313
-1.329,-0.168,-1.167261741,7.360615215600110,-6.90744301,-1432,-0.762939453
-1.338,-0.169,-1.167261741,7.648997528151607,-6.591595715,-1432,-0.238037109
