X-POSF,Y-POSF,X-TCMD,Y-TCMD,Z-TCMD,SPEED,S-TCMD
-0.04,0,-1.27712167,5.685251305,-6.165888492,-1432,0.378417969
-0.042,0,-1.304586652,5.602856358,-6.083493546,-1433,0.238037109
-0.041,0,-1.249656688,5.232079099,-6.110958528,-1434,0.09765625
-0.043,0,-1.290854161,5.383136501,-6.152156001,-1434,-0.164794922
-0.044,0,-1.249656688,5.575391376,-6.13842351,-1434,-0.482177734
-0.045,0,-1.222191706,5.506728921,-6.083493546,-1435,-0.305175781
-0.046,0,-1.263389179,5.204614117,-6.097226037,-1433,-0.262451172
-0.047,0,-1.27712167,5.36940401,-6.083493546,-1433,0.189208984
-0.048,-0.002,-1.27712167,5.547926394,-5.918703653,-1433,0.469970703
-0.049,-0.001,-1.359516616,5.396868992,-5.973633617,-1433,0.500488281
-0.05,-0.001,-1.290854161,5.259544081,-6.01483109,-1434,0.628662109
-0.051,-0.001,-1.27712167,5.314474046,-6.042296073,-1434,0.360107422
-0.052,-0.001,-1.318319143,5.520461412,-5.959901126,-1434,0.128173828
-0.053,-0.001,-1.27712167,5.341939028,-5.973633617,-1434,0.054931641
-0.054,-0.001,-1.332051634,5.135951662,-5.904971162,-1433,-0.457763672
-0.055,-0.001,-1.318319143,5.232079099,-5.973633617,-1433,-0.378417969
-0.056,-0.001,-1.290854161,5.36940401,-5.946168635,-1433,-0.329589844
-0.057,-0.001,-1.290854161,5.287009063,-5.987366108,-1432,0.250244141
-0.058,-0.001,-1.290854161,5.067289206,-5.904971162,-1432,0.268554688
-0.059,-0.001,-1.359516616,5.122219171,-5.918703653,-1432,0.012207031
-0.06,-0.001,-1.304586652,5.300741555,-5.904971162,-1433,-0.402832031
-0.061,-0.001,-1.332051634,5.355671519,-5.836308706,-1434,-0.756835938
-0.062,-0.001,-1.332051634,5.067289206,-5.904971162,-1434,-0.970458984
-0.063,-0.001,-1.345784125,5.218346608,-5.932436144,-1433,-1.037597656
-0.064,0,-1.290854161,5.383136501,-5.973633617,-1432,-0.830078125
-0.065,0,-1.304586652,5.328206537,-5.973633617,-1432,-0.695800781
-0.066,0,-1.318319143,5.177149135,-5.973633617,-1432,-0.29296875
-0.067,-0.002,-1.386981598,5.314474046,-5.685251305,-1433,-0.299072266
-0.068,-0.001,-1.332051634,5.602856358,-5.822576215,-1434,-0.024414063
-0.069,-0.001,-1.40071409,5.438066465,-5.891238671,-1433,-0.341796875
-0.07,-0.001,-1.304586652,5.300741555,-5.863773689,-1434,-0.451660156
-0.071,0,-1.304586652,5.589123867,-6.001098599,-1433,-0.646972656
-0.073,0,-1.332051634,5.698983796,-5.904971162,-1433,-0.9765625
-0.074,0,-1.318319143,5.465531447,-5.932436144,-1433,-0.720214844
-0.075,-0.002,-1.290854161,5.506728921,-5.561658885,-1432,-0.347900391
-0.076,-0.001,-1.290854161,5.740181269,-5.795111233,-1433,-0.158691406
-0.077,-0.001,-1.318319143,5.589123867,-5.850041197,-1432,-0.079345703
-0.078,0,-1.290854161,5.383136501,-5.946168635,-1433,-0.061035156
-0.079,0,-1.27712167,5.547926394,-5.987366108,-1434,-0.439453125
-0.08,0,-1.249656688,5.726448778,-5.808843724,-1434,-0.848388672
-0.081,0,-1.235924197,5.465531447,-5.863773689,-1434,-1.019287109
-0.082,-0.002,-1.235924197,5.479263938,-5.602856358,-1433,-1.000976563
-0.083,-0.001,-1.27712167,5.575391376,-5.740181269,-1433,-0.579833984
-0.084,-0.001,-1.304586652,5.808843724,-5.808843724,-1432,-0.378417969
-0.085,0,-1.249656688,5.396868992,-5.918703653,-1433,0.079345703
-0.086,0,-1.263389179,5.49299643,-5.891238671,-1433,0.274658203
-0.087,0,-1.263389179,5.63032134,-5.781378742,-1434,0.402832031
-0.088,-0.002,-1.290854161,5.589123867,-5.575391376,-1434,0.286865234
-0.089,-0.001,-1.27712167,5.355671519,-5.712716287,-1435,0.323486328
-0.09,-0.001,-1.290854161,5.396868992,-5.712716287,-1435,0.201416016
-0.091,-0.001,-1.249656688,5.547926394,-5.75391376,-1434,-0.067138672
-0.092,0,-1.290854161,5.575391376,-5.87750618,-1433,-0.09765625
-0.093,0,-1.27712167,5.232079099,-5.836308706,-1434,0.390625
-0.094,0,-1.318319143,5.314474046,-5.726448778,-1433,0.48828125
-0.095,-0.002,-1.304586652,5.424333974,-5.520461412,-1433,0.616455078
-0.096,-0.001,-1.304586652,5.438066465,-5.657786322,-1433,0.439453125
-0.097,-0.001,-1.249656688,5.163416644,-5.726448778,-1434,-0.073242188
-0.098,0,-1.290854161,5.108486679,-5.822576215,-1435,-0.29296875
-0.097,0,-1.27712167,5.067289206,-5.808843724,-1433,-0.653076172
-0.099,0,-1.318319143,5.36940401,-5.822576215,-1433,-0.329589844
-0.1,0,-1.318319143,5.122219171,-5.63032134,-1432,-0.671386719
-0.101,-0.002,-1.318319143,4.971161769,-5.506728921,-1432,-0.366210938
-0.102,-0.001,-1.359516616,5.149684153,-5.671518814,-1432,-0.164794922
-0.103,-0.001,-1.304586652,5.36940401,-5.616588849,-1433,-0.274658203
-0.104,0,-1.304586652,5.204614117,-5.808843724,-1433,-0.286865234
-0.105,0,-1.304586652,5.026091733,-5.822576215,-1434,-0.311279297
-0.106,0,-1.332051634,5.149684153,-5.698983796,-1433,-0.598144531
-0.107,0,-1.332051634,5.424333974,-5.685251305,-1433,-0.836181641
-0.108,-0.002,-1.386981598,5.287009063,-5.451798956,-1433,-1.031494141
-0.109,-0.001,-1.332051634,5.081021697,-5.575391376,-1432,-0.872802734
-0.11,-0.001,-1.345784125,5.328206537,-5.657786322,-1433,-0.274658203
-0.111,0,-1.304586652,5.424333974,-5.685251305,-1432,-0.079345703
-0.112,0,-1.318319143,5.232079099,-5.75391376,-1433,0.170898438
-0.113,0,-1.318319143,5.177149135,-5.740181269,-1433,-0.280761719
-0.114,0,-1.290854161,5.341939028,-5.63032134,-1433,-0.665283203
-0.115,0,-1.318319143,5.520461412,-5.657786322,-1434,-1.086425781
-0.116,-0.002,-1.318319143,5.190881626,-5.396868992,-1434,-1.043701172
-0.117,-0.001,-1.290854161,5.259544081,-5.616588849,-1432,-0.964355469
-0.119,0,-1.290854161,5.547926394,-5.781378742,-1432,-0.689697266
