X-POSF,Y-POSF,X-TCMD,Y-TCMD,Z-TCMD,SPEED,S-TCMD
-0.127,-0.003,-1.126064268,5.287009063,-5.671518814,-1433,0.494384766
-0.128,-0.003,-1.084866795,5.108486679,-5.644053831,-1433,0.311279297
-0.129,-0.003,-1.139796759,5.177149135,-5.644053831,-1434,0.201416016
-0.13,-0.003,-1.084866795,5.383136501,-5.589123867,-1434,0.122070313
-0.131,-0.003,-1.098599286,5.218346608,-5.602856358,-1434,-0.238037109
-0.132,-0.003,-1.139796759,4.98489426,-5.644053831,-1433,-0.482177734
-0.133,-0.003,-1.126064268,5.094754188,-5.575391376,-1433,-0.598144531
-0.134,-0.003,-1.180994232,5.273276572,-5.644053831,-1432,-0.274658203
-0.135,-0.003,-1.167261741,5.177149135,-5.63032134,-1433,-0.036621094
-0.136,-0.003,-1.194726723,4.98489426,-5.575391376,-1432,0.177001953
-0.137,-0.003,-1.180994232,5.108486679,-5.644053831,-1433,-0.189208984
-0.138,-0.003,-1.139796759,5.300741555,-5.616588849,-1433,-0.506591797
-0.139,-0.003,-1.208459215,5.287009063,-5.561658885,-1434,-0.842285156
-0.14,-0.003,-1.15352925,5.012359242,-5.63032134,-1434,-0.994873047
-0.141,-0.003,-1.167261741,5.190881626,-5.561658885,-1432,-1.07421875
-0.142,-0.003,-1.180994232,5.383136501,-5.63032134,-1432,-0.891113281
-0.143,-0.003,-1.167261741,5.218346608,-5.547926394,-1432,-0.543212891
-0.144,-0.003,-1.15352925,5.122219171,-5.616588849,-1432,-0.305175781
-0.145,-0.003,-1.15352925,5.163416644,-5.602856358,-1433,-0.048828125
-0.146,-0.003,-1.126064268,5.465531447,-5.547926394,-1433,-0.006103516
-0.147,-0.003,-1.071134304,5.094754188,-5.616588849,-1433,-0.433349609
-0.148,-0.003,-1.126064268,5.067289206,-5.602856358,-1434,-0.628662109
-0.149,-0.003,-1.112331777,5.328206537,-5.547926394,-1434,-0.677490234
-0.15,-0.003,-1.15352925,5.341939028,-5.616588849,-1433,-0.756835938
-0.151,-0.003,-1.139796759,5.108486679,-5.589123867,-1433,-0.653076172
-0.152,-0.003,-1.057401813,5.163416644,-5.547926394,-1432,-0.299072266
-0.154,-0.003,-1.084866795,5.410601483,-5.602856358,-1433,-0.024414063
-0.155,-0.003,-1.029936831,5.383136501,-5.534193903,-1433,0.140380859
