X-POSF,Y-POSF,X-TCMD,Y-TCMD,Z-TCMD,SPEED,S-TCMD
-0.494,-14.599,-1.867618786,-24.51249657,99.89014007,-1434,-1.049804688
-0.546,-14.822,-1.592968965,-23.19417742,99.87640758,-1433,-0.567626953
-0.6,-15.038,-1.359516616,-23.82587201,99.43696787,-1432,-0.085449219
-0.656,-15.246,-1.208459215,-24.43010162,98.43449602,-1432,-0.128173828
-0.717,-15.449,-1.249656688,-24.47129909,97.32216424,-1433,-0.378417969
-0.779,-15.643,-1.222191706,-24.55369404,94.38341115,-1433,-0.659179688
-0.844,-15.83,-1.345784125,-23.99066191,90.63444109,-1434,-1.086425781
-0.913,-16.011,-1.345784125,-22.32903049,87.47596814,-1433,-1.190185547
-0.984,-16.186,-1.222191706,-21.77973084,84.16643779,-1433,-1.068115234
-1.059,-16.354,-1.098599286,-20.22795935,78.82449876,-1432,-0.903320313
-1.136,-16.516,-0.947541884,-21.39522109,74.7734139,-1432,-0.665283203
-1.216,-16.672,-0.851414447,-22.60368031,70.11809942,-1432,-0.29296875
-1.297,-16.824,-0.878879429,-23.46882725,66.06701456,-1433,-0.115966797
-1.382,-16.97,-0.920076902,-23.78467454,60.90359791,-1433,-0.146484375
-1.47,-17.11,-0.975006866,-24.19664927,57.20955781,-1435,-0.048828125
-1.56,-17.247,-1.139796759,-23.81213952,53.77643505,-1434,-0.219726563
-1.653,-17.379,-1.222191706,-23.37269981,50.23345235,-1434,-0.469970703
-1.749,-17.507,-1.194726723,-23.29030486,47.19857182,-1434,-0.158691406
-1.848,-17.631,-1.057401813,-24.71848393,44.57566603,-1433,-0.09765625
-1.949,-17.752,-0.988739357,-26.47624279,41.44465806,-1433,0.29296875
-2.054,-17.87,-0.947541884,-27.82202692,39.19252952,-1434,0.823974609
-2.16,-17.983,-0.988739357,-28.52238396,37.25624828,-1433,0.762939453
-2.27,-18.094,-1.139796759,-28.74210382,35.3886295,-1434,0.518798828
-2.383,-18.202,-1.235924197,-28.71463884,33.46608075,-1434,-0.054931641
-2.501,-18.307,-1.27712167,-28.56358143,32.02416918,-1434,-0.341796875
-2.62,-18.409,-1.208459215,-28.09667674,30.48613018,-1434,-0.433349609
-2.743,-18.508,-1.084866795,-28.1516067,29.44246086,-1433,-0.402832031
-2.868,-18.605,-1.029936831,-27.58857457,28.48118649,-1432,-0.012207031
-2.997,-18.7,-1.029936831,-27.39631969,27.54737709,-1433,0.122070313
-3.129,-18.793,-1.235924197,-26.70969514,27.19033233,-1433,0.256347656
-3.263,-18.883,-1.510574018,-26.51744026,26.29772041,-1433,0.262451172
-3.4,-18.97,-1.496841527,-25.63856083,25.51496842,-1434,0.146484375
-3.54,-19.055,-1.592968965,-24.52622906,24.85580884,-1434,-0.262451172
-3.683,-19.138,-1.565503982,-23.00192255,24.40263664,-1434,-0.439453125
-3.829,-19.219,-1.606701456,-20.04943697,24.3065092,-1433,-0.659179688
-3.977,-19.298,-1.92254875,-17.15188135,23.77094205,-1433,-0.769042969
-4.127,-19.375,-2.059873661,-14.63883548,23.6885471,-1433,-0.659179688
-4.28,-19.451,-2.032408679,-12.11205713,23.0843175,-1432,-0.244140625
-4.434,-19.524,-1.840153804,-9.914858555,22.93326009,-1432,0.103759766
-4.589,-19.594,-1.66163142,-8.720131832,21.98571821,-1433,-0.183105469
-4.746,-19.663,-1.551771491,-7.182092832,21.46388355,-1434,-0.476074219
-4.903,-19.73,-1.579236473,-5.87750618,20.91458391,-1433,-0.689697266
-5.062,-19.795,-1.606701456,-2.773963197,20.13183191,-1434,-1.116943359
-5.223,-19.859,-1.606701456,0.398242241,19.62372974,-1433,-1.245117188
-5.384,-19.921,-1.524306509,3.460587751,19.04696512,-1433,-1.043701172
-5.545,-19.98,-1.40071409,5.424333974,18.19555067,-1432,-0.561523438
-5.706,-20.039,-1.263389179,7.401812689,17.82477341,-1432,-0.347900391
-5.868,-20.094,-1.167261741,9.173304037,16.73990662,-1433,-0.079345703
-6.029,-20.149,-1.002471848,9.159571546,15.98461961,-1433,0.012207031
-6.19,-20.202,-0.933809393,9.241966493,15.00961274,-1433,-0.09765625
-6.348,-20.254,-0.878879429,8.829991761,14.62510299,-1434,-0.598144531
-6.507,-20.305,-0.755287009,8.486679484,13.58143367,-1433,-0.665283203
-6.666,-20.353,-0.796484482,8.500411975,13.05959901,-1433,-0.921630859
-6.824,-20.401,-0.782751991,8.596539412,12.44163691,-1433,-0.750732422
-6.982,-20.447,-0.920076902,8.225762153,11.72754738,-1433,-0.323486328
-7.139,-20.492,-0.906344411,7.772589948,11.2331777,-1433,0.030517578
-7.296,-20.534,-0.906344411,7.346882725,10.72507553,-1432,0.317382813
